Country,State,Route,Active,Latitude,Longitude,Stratum,BCR
840,42,101,1,29.6924898,-89.9669461,5,26
840,42,104,1,29.7559597,-90.5588309,5,26
840,42,105,1,29.6995057,-91.2072539,5,26
840,42,106,1,29.7706489,-93.0158239,6,37
840,42,113,1,30.6521557,-92.4323269,6,37
840,42,119,1,31.5639297,-92.963258,4,25
840,42,122,1,31.0660928,-93.4958419,4,25
840,42,124,1,32.385442,-91.65069,5,26
840,42,125,1,32.3059287,-92.3460469,4,25
840,42,128,1,32.5540378,-93.482775,4,25
840,42,137,1,31.6696396,-93.5734938,4,25
840,42,139,1,32.9487841,-92.2696438,4,25
840,42,140,1,32.7507357,-93.5489809,4,25
840,42,208,1,30.2700817,-89.8453979,3,26
840,42,221,1,31.4823534,-93.1474655,4,25
840,42,303,1,32.9737057,-91.5183169,5,26
840,42,305,0,31.9552681,-92.8142323,4,25
840,42,306,1,31.9003707,-91.9109869,5,25
840,42,308,1,30.2754072,-92.962092,6,37
840,42,309,1,30.4743657,-91.2112109,5,26
840,42,311,1,29.5532551,-92.3067829,6,37
840,42,410,1,30.832203,-90.146244,3,26
840,42,411,0,29.55323,-92.30674,6,37
840,42,903,1,30.4128796,-91.1957095,5,26
840,42,904,1,32.3123624,-91.366531,5,26
840,42,905,1,30.3686157,-91.6352162,5,26
840,42,906,1,30.4157544,-91.1801812,5,26
840,46,5,1,39.6151476,-78.8123259,13,28
840,46,6,1,39.6129717,-77.8655019,13,28
840,46,7,1,39.6486494,-77.5681548,10,28
840,46,8,1,39.5780009,-77.5489971,10,28
840,46,11,1,39.1514457,-77.0930269,10,29
840,46,12,1,39.1152852,-77.0002244,10,29
840,46,13,1,39.516536,-77.0384304,10,29
840,46,14,1,39.6423121,-77.0236228,10,29
840,46,15,1,39.6359624,-76.9692792,10,29
840,46,16,1,39.5515705,-76.8137896,10,29
840,46,17,1,39.7002158,-76.7644397,10,29
840,46,18,1,39.3456735,-76.8160804,10,29
840,46,20,1,39.4890766,-76.3159492,10,29
840,46,22,1,39.0164522,-76.8497577,10,30
840,46,29,1,38.5217447,-76.8406989,4,30
840,46,30,1,38.6021387,-77.0780349,4,30
840,46,31,1,38.5960742,-77.0558732,4,30
840,46,32,1,39.628083,-76.00685,10,29
840,46,33,1,39.52083,-75.94228,10,29
840,46,34,1,39.5231571,-75.9042529,4,30
840,46,35,1,39.276509,-75.7640082,4,30
840,46,36,1,39.2640947,-76.1481269,4,30
